@format=column,CD_Sacrifice_Order_[Rank],HFD_Sacrifice_Order_[Rank],CD_Sacrifice_Order_[Weeks],HFD_Sacrifice_Order_[Weeks],CD_BodyWeight_Wk8_[g],HFD_BodyWeight_Wk8_[g],CD_BodyWeight_Wk16_[g],HFD_BodyWeight_Wk16_[g],CD_BodyWeight_Wk28_[g],HFD_BodyWeight_Wk28_[g],CD_BodyWeight_Sacrifice_[g],HFD_BodyWeight_Sacrifice_[g],CD_BodyWeight_NIBP_[g],HFD_BodyWeight_NIBP_[g],CD_BodyWeight_preCLAMS_[g],HFD_BodyWeight_preCLAMS_[g],CD_FatMass_preCLAMS_[g],HFD_FatMass_preCLAMS_[g],CD_FatMass_preCLAMS_[%],HFD_FatMass_preCLAMS_[%],CD_LeanMass_preCLAMS_[g],HFD_LeanMass_preCLAMS_[g],CD_LeanMass_preCLAMS_[%],HFD_LeanMass_preCLAMS_[%],CD_BodyWeight_preWheel_[g],HFD_BodyWeight_preWheel_[g],CD_FatMass_preWheel_[g],HFD_FatMass_preWheel_[g],CD_FatMass_preWheel_[%],HFD_FatMass_preWheel_[%],CD_LeanMass_preWheel_[g],HFD_LeanMass_preWheel_[g],CD_LeanMass_preWheel_[%],HFD_LeanMass_preWheel_[%],CD_BodyWeight_postWheel_[g],HFD_BodyWeight_postWheel_[g],CD_FatMass_postWheel_[g],HFD_FatMass_postWheel_[g],CD_FatMass_postWheel_[%],HFD_FatMass_postWheel_[%],CD_LeanMass_postWheel_[g],HFD_LeanMass_postWheel_[g],CD_LeanMass_postWheel_[%],HFD_LeanMass_postWheel_[%],CD_BWGain_8-16Weeks_[g],HFD_BWGain_8-16Weeks_[g],CD_BWGain_8-16Weeks_[%],HFD_BWGain_8-16Weeks_[%],CD_BWGain_8-28Weeks_[g],HFD_BWGain_8-28Weeks_[g],CD_BWGain_8-28Weeks_[%],HFD_BWGain_8-28Weeks_[%],CD_BWLoss_AfterExercise_[%],HFD_BWLoss_AfterExercise_[%],CD_FatMassLoss_AfterExercise_[%],HFD_FatMassLoss_AfterExercise_[%],CD_BodyWeightLoss_PreSacrifice_[g],CD_DiastolicBP_NIBP_[mmHg],HFD_DiastolicBP_NIBP_[mmHg],CD_SystolicBP_NIBP_[mmHg],HFD_SystolicBP_NIBP_[mmHg],CD_HeartRate_NIBP_[bpm],HFD_HeartRate_NIBP_[bpm],CD_DayRER_CLAMS_[ratio],HFD_DayRER_CLAMS_[ratio],CD_NightRER_CLAMS_[ratio],HFD_NightRER_CLAMS_[ratio],CD_24hRER_CLAMS_[ratio],HFD_24hRER_CLAMS_[ratio],CD_DayVO2_CLAMS_[mL/kg/hr],HFD_DayVO2_CLAMS_[mL/kg/hr],CD_NightVO2_CLAMS_[mL/kg/hr],HFD_NightVO2_CLAMS_[mL/kg/hr],CD_24hVO2_CLAMS_[mL/kg/hr],HFD_24hVO2_CLAMS_[mL/kg/hr],CD_DayVCO2_CLAMS_[mL/kg/hr],HFD_DayVCO2_CLAMS_[mL/kg/hr],CD_NightVCO2_CLAMS_[mL/kg/hr],HFD_NightVCO2_CLAMS_[mL/kg/hr],CD_24hVCO2_CLAMS_[mL/kg/hr],HFD_24hVCO2_CLAMS_[mL/kg/hr],CD_NightXTot_CLAMS_[#/12hr],HFD_NightXTot_CLAMS_[#/12hr],CD_NightZTot_CLAMS_[#/12hr],HFD_NightZTot_CLAMS_[#/12hr],CD_FoodInTotal_CLAMS_[g],HFD_FoodInTotal_CLAMS_[g],CD_FoodInTotal_CLAMS_[kCal],HFD_FoodInTotal_CLAMS_[kCal],CD_WaterInTotal_CLAMS_[mL],HFD_WaterInTotal_CLAMS_[mL],CD_Glucose0min_OGTT_[mg/dL],HFD_Glucose0min_OGTT_[mg/dL],CD_Glucose15min_OGTT_[mg/dL],HFD_Glucose15min_OGTT_[mg/dL],CD_Glucose30min_OGTT_[mg/dL],HFD_Glucose30min_OGTT_[mg/dL],CD_Glucose45min_OGTT_[mg/dL],HFD_Glucose45min_OGTT_[mg/dL],CD_Glucose60min_OGTT_[mg/dL],HFD_Glucose60min_OGTT_[mg/dL],CD_Glucose90min_OGTT_[mg/dL],HFD_Glucose90min_OGTT_[mg/dL],CD_Glucose120min_OGTT_[mg/dL],HFD_Glucose120min_OGTT_[mg/dL],CD_Glucose150min_OGTT_[mg/dL],HFD_Glucose150min_OGTT_[mg/dL],CD_Glucose180min_OGTT_[mg/dL],HFD_Glucose180min_OGTT_[mg/dL],CD_GlucoseAUC_OGTT_[AUC],HFD_GlucoseAUC_OGTT_[AUC],CD_InsulinAUC_OGTT_[AUC],HFD_InsulinAUC_OGTT_[AUC],CD_Insulin0min_OGTT_[ng/mL],HFD_Insulin0min_OGTT_[ng/mL],CD_Insulin15min_OGTT_[ng/mL],HFD_Insulin15min_OGTT_[ng/mL],CD_Insulin30min_OGTT_[ng/mL],HFD_Insulin30min_OGTT_[ng/mL],CD_Fasted_Glucose_Insulin_[ratio],HFD_Fasted_Glucose_Insulin_[ratio],CD_Glucose_Insulin_15m_OGTT[ratio],HFD_Glucose_Insulin_15m_OGTT[ratio],CD_Glucose_Insulin_30m_OGTT[ratio],HFD_Glucose_Insulin_30m_OGTT[ratio],CD_Glucose*Insulin_Fasted,HFD_Glucose*Insulin_Fasted
C57BL/6J,8,8.0,13,13.0,21.548,21.718,28.084,31.196,30.0,43.9,31.302,47.228,30.0,37.7,29.5925,34.4525,3.21375,9.0395,10.87,26.025,25.20825,24.337,85.1725,70.855,31.55,46.7,3.79,18.275,13.642355551986203,39.08638173534234,26.555,27.074,84.13447836809988,58.031218646395295,30.357,35.866,2.0,15.3,6.633049869274163,35.400152518606106,27.24,26.63,89.64064512677997,62.18935741953666,6.536,9.478,30.53152,43.64721,8.42,22.182,39.44808659492416,102.10355659119683,2.855957299707689,5.971373158002545,52.11371697895039,16.58826003743487,0.0,93.5,77.125,117.0,111.5,716.125,697.25,0.88285,0.76725,0.93275,0.7833,0.9128,0.776875,2675.0,2936.0,3205.0,3441.0,3000.0,3246.0,2376.0,2256.0,2972.0,2701.0,2741.0,2529.0,35444.0,26784.0,13018.0,9457.0,3.527,1.862,10.9337,9.4962,1.82,1.535,103.5,163.0,294.5,349.5,260.5,302.0,225.5,302.5,205.5,295.625,155.5,266.5,142.0,229.75,122.75,227.5,112.0,196.5,31387,46844.0,40.93,127.2,0.387,3.3,1.999,4.98,1.072,3.694,4835994.724647407,514753.4607387922,1627327.571097781,713713.0716819462,1967880.229889131,839003.5565632321,38.994,532.93575
DBA/2J,8,8.0,13,13.0,22.414,22.214,30.146,39.914,32.3,40.6,33.5725,48.328,32.0,43.8,31.4775,42.4075,8.22625,16.45975,26.0375,38.8475,22.062,24.7945,70.17,58.44,33.36,44.99,7.97,16.7448,23.528628201285034,36.89843400451586,23.963,26.8646,72.2014765878334,59.99916207884296,30.18,41.94,4.28,7.7,13.819557134360693,20.969250731780008,24.83,26.94,82.05922926880936,75.59634373653189,7.732,17.7,34.62089,80.09785,10.3325,18.344,46.702571105894265,83.3012164855331,5.944124860630185,19.704068099885728,40.42770003346909,51.72770030099976,1.3275000000000006,87.5,80.25,115.0,108.0,702.25,688.25,0.81775,0.776925,0.88225,0.78555,0.85645,0.7821,3227.0,2565.0,3616.0,3023.0,3466.0,2845.0,2629.0,1988.0,3185.0,2376.0,2969.0,2226.0,25325.0,22411.0,2792.0,4354.0,3.108,2.183,9.6348,11.133299999999998,2.295,1.533,86.5,132.7,186.0,256.0,179.0,251.3,166.5,223.67,143.5,205.0,105.5,197.0,99.75,197.33,95.0,195.33,96.0,180.33,22298,36968.0,68.335,192.675,2.72175,3.7855,1.85225,7.42825,2.68625,7.0495,1019795.5188049643,444641.8570707033,1884847.0372509859,410463.4567928121,1078663.14423329,424906.661375291,241.90125,397.262
BXD1,42,43.0,189,202.0,23.770000000000003,24.378,27.9,35.998,30.62,37.238,28.326,38.89,27.34,36.52,27.875999999999998,36.462,3.182,11.59,11.364,31.42,23.566,23.83,84.584,65.72,29.422000000000004,39.694,3.5662,13.6786,11.804116729631913,34.03573606302757,24.764000000000003,24.868199999999998,84.47025818717002,63.07628468663985,29.886000000000003,34.239999999999995,2.9866,7.598400000000001,9.84873797664929,22.03776012540945,25.99,25.5308,87.09931058960872,74.72289067782671,4.127999999999999,11.62,17.27865348777228,47.696398619400476,6.847999999999999,12.860000000000003,28.688774689952453,52.957994824406626,-1.7713971706554923,13.392706301850783,11.19755136175176,44.507125903538274,3.0,89.2,78.2,115.4,104.6,653.75,652.2,0.8186,0.75218,0.8384,0.7581399999999999,0.834,0.7548,2509.5199999999995,2432.0,2782.4667999999997,2743.6,2722.753,2584.0,2253.677,1829.0,2290.767,2079.0,2273.053,1951.0,0.0,20006.6,0.0,4980.4,0.0,0.0,0.0,0.0,0.568,0.472,72.8,93.2,241.8,306.0,245.8,447.8,226.6,398.2,196.4,359.4,133.0,262.6,114.0,180.0,107.4,133.6,99.6,96.4,27771,44798.0,16.66,33.72,0.164,0.354,0.724,1.56,0.6100000000000001,1.024,4442941.176470588,2774609.195402299,3456679.607103684,2105853.2730556587,4116728.7239384567,4828616.770226677,11.974,33.288
BXD2,54,54.0,300,300.0,29.654999999999998,27.606,35.1875,42.041999999999994,36.255,46.246,35.3825,45.61,36.3875,43.922000000000004,35.962500000000006,42.194,9.12825,15.081399999999999,25.117,35.37,26.0275,26.804000000000002,72.6,63.88,36.417500000000004,45.688,9.626750000000001,17.964000000000002,26.297422228153646,39.020988258691,25.58,27.0128,70.34128459693815,59.37251083102834,36.087500000000006,42.90599999999999,8.614,15.335000000000003,23.719750147887737,34.87943661965819,26.47975,27.330000000000002,73.50063282154912,64.51162556722804,5.532500000000001,14.436000000000002,18.767491379681346,51.93987180955859,6.600000000000001,18.640000000000004,22.86422442409872,66.6909873254452,0.8790752028734229,6.518781380891099,11.177424686065134,16.43639860983701,1.4324999999999992,77.0,76.2,109.75,107.8,626.0,653.0,0.77775,0.7620000000000001,0.8202499999999999,0.7726,0.802,0.768,2614.4809999999998,2526.7748,2966.33325,2823.7889999999998,2818.782,2694.676,2044.942,1933.162,2445.417,2190.311,2277.476,2078.588,24055.0,20920.6,7259.0,7506.0,1.6362499999999933,1.6070000000000022,5.07237499999998,8.195700000000011,1.985,1.42,115.0,146.6,235.75,268.6,220.25,228.4,215.75,240.8,207.75,250.0,167.5,187.6,140.0,166.6,122.0,150.0,120.25,153.2,30302,35215.8,33.68,107.76799999999999,0.35526075,1.6462998,1.5937212500000002,5.017704,0.9478982500000002,2.6858820000000003,2397361.4737172048,1023519.2382009157,2177327.5889748414,654170.2876326046,2532097.5911454675,1018046.7079542561,40.20490475,252.10431640000002
BXD6,48,51.0,287,292.0,25.252000000000002,24.782000000000004,31.8,41.492000000000004,35.714,48.682,34.504,47.476,32.126,42.922,31.8,40.980000000000004,5.0824,0.0,15.67,0.0,26.7948,0.0,84.53,0.0,34.025999999999996,46.878,6.4178,19.1156,18.605721282771714,40.5948743292421,26.8034,27.194,79.01441946721289,58.189981541403164,33.315999999999995,45.322,5.5628,17.309800000000003,16.447515618144294,37.99920627716551,27.006999999999998,27.5414,81.29646591013636,60.95597029296956,6.548,16.71,25.828695286835046,67.87784877181736,10.462,23.9,41.34945628078352,96.47149708968803,1.932948745440973,3.25150571804978,12.478191965050495,9.440129249256092,1.834000000000001,76.8,69.4,102.6,96.2,634.6,660.0,0.8225999999999999,0.7662000000000001,0.8798,0.7736,0.856,0.77,2958.5845999999997,2636.6878,3255.0024000000003,3121.4,3131.666,2917.14,2442.708,2020.269,2876.954,2414.356,2696.468,2248.229,18196.0,18366.6,2525.4,3533.2,2.7230000000000016,2.1620000000000035,8.441300000000005,11.026200000000017,0.856,1.3,102.0,116.0,277.8,321.8,268.2,373.0,224.0,357.2,210.6,324.6,147.2,235.8,135.2,178.2,120.4,134.4,108.6,130.6,30773,42364.8,21.451999999999998,65.654,0.2221988,0.642005,0.8967476,2.8448256,0.8425492,2.4234218,5281962.11382253,1813092.3266018452,3104105.9885737523,1657648.5725389596,3317596.760412635,1956914.7917089027,21.920341999999998,71.60811900000002
BXD8,56,58.0,303,316.0,23.2575,21.69,27.6625,34.522000000000006,30.262499999999996,37.712,27.974999999999998,36.914,27.907500000000002,34.096000000000004,27.6625,34.522000000000006,1.51,11.0408,5.44,31.774828803218394,25.98,23.45,93.93,68.13993073758051,28.1975,36.682,2.348,12.4158,8.311090727900787,33.543509570935484,25.572,24.093799999999998,90.69130497514217,65.96758343039419,29.28,31.806,2.766,7.2632,9.45423651413115,22.032909310263182,25.8885,24.3274,88.42630049534691,77.26047800864688,4.404999999999999,12.831999999999999,19.022272510146284,59.01588720936782,7.005,16.022,30.083679196409157,73.40959777625201,-3.8547370335619755,13.519978421971341,-19.68033392573679,43.89190964812981,2.467500000000001,83.75,70.0,111.0,95.8,740.5,788.6,0.866,0.764,0.926,0.78,0.902,0.774,2918.519,2602.927,3403.776,3104.88,3206.641,2926.768,2541.615,1990.164,3169.724,2425.19,2914.555,2270.826,28471.0,22284.4,6164.25,5179.6,3.0337499999999977,1.524000000000001,9.404624999999994,7.772400000000004,2.505,0.964,77.75,111.4,261.5,276.2,239.0,291.0,198.75,286.8,166.5,270.2,125.75,210.0,109.0,169.4,100.0,156.6,95.0,140.0,26286,37905.2,3.2675,19.968600000000002,0.0,0.011427759999999999,0.2178255,0.8602274,0.0,0.9305327999999999,0.0,18201292.291752715,8042394.3470474705,3827028.392387332,0.0,3651127.1459333645,0.0,1.1884870399999998
BXD11,55,57.0,302,307.0,23.688000000000002,24.685999999999996,29.5875,46.748000000000005,35.25,57.1875,33.44,55.585,31.74,46.03000000000001,29.587500000000002,46.748000000000005,5.15,19.1584,16.24,39.82899460550356,23.56,27.72,80.449,60.47758279932206,30.45,49.148,4.689,19.589199999999998,15.01238206159855,39.535265900140665,23.454,29.375,77.58765806817617,60.08568405386624,29.880000000000003,52.251999999999995,5.5125,22.345,18.189482157847614,42.69165365910876,23.736,29.832600000000003,79.61298257487721,57.15487700105111,6.2525,22.062000000000005,26.199115025349997,89.67579007106738,12.120000000000003,32.6525,51.974387518456155,133.8063703935203,1.6364974418902523,-6.704485545503547,-21.72169841010083,-16.308152057213047,1.5400000000000027,73.0,66.4,102.66666666666667,92.4,683.3333333333334,649.6,0.807,0.745,0.875,0.755,0.848,0.751,2961.596,2677.0,3502.061,3079.0,3283.841,2933.0,2430.442,1998.789,3115.844,2328.828,2840.205,2209.079,31512.5,16465.167,5034.25,1377.5,2.1887500000000024,1.9889999999999985,6.785125000000008,10.143899999999991,0.0,2.23,88.25,78.2,239.75,241.2,227.75,305.2,216.0,329.4,231.0,314.2,178.5,253.0,147.75,192.0,118.5,165.4,111.5,150.8,31127,41367.4,11.442924999999999,84.042,0.06049,0.6104049999999999,0.598030325,4.082638000000001,0.269054375,2.4294887999999992,4628864.275086791,1371752.40184218,28504904.116425052,1011841.3421818217,58803772.83276764,1789546.401738756,6.7748800000000005,51.080965
BXD12,51,57.0,292,307.0,24.262,22.305999999999997,28.662,27.698,30.571999999999996,34.368,29.236,32.864,29.244,28.926,28.662,27.698,0.0,3.7281999999999997,0.0,13.350947524022251,0.0,23.794999999999998,0.0,86.02266895213309,30.008,31.582,2.7441999999999998,6.3616,9.11526088091701,19.761866877640173,26.667600000000004,25.014400000000002,88.90672270926731,79.56330085802529,30.48,31.332,2.8333999999999997,5.8986,9.283731761484304,18.528138562656373,27.111400000000003,25.0262,88.96365045205194,80.13394316796004,4.443999999999999,5.392,18.348168007631646,24.248643888665573,6.309999999999999,12.062000000000001,26.04230158886573,54.13331849846172,-1.5783726919535161,0.6625494428027452,-4.914809053593774,7.438361264789364,1.1720000000000006,84.0,70.2,109.6,101.6,667.4,674.2,0.8564,0.771,0.9232000000000001,0.792,0.895,0.784,3038.0407999999998,3643.0,3583.989,4250.0,3349.848,4027.0,2613.962,2817.817,3321.456,3380.134,3018.146,3174.381,24913.4,25931.8,4179.6,3428.6,3.3210000000000006,1.925,10.295100000000001,9.817499999999999,2.684,2.252,71.4,99.2,209.0,377.6,209.0,333.0,181.4,271.6,175.4,243.8,136.2,190.6,122.6,149.0,110.2,123.6,102.4,117.6,26904,36622.6,16.107999999999997,25.488000000000003,0.0996,0.14980000000000002,0.8917999999999999,1.2534,0.2644,0.7418,8465566.507844348,9333251.400200551,2389403.1048581377,3618105.171276608,9112585.896393906,4748607.032345816,6.868999999999998,16.4284
BXD16,50,50.0,290,290.0,33.714000000000006,29.926,46.832,52.434000000000005,52.91000000000001,61.148,51.96,58.098,48.61,54.126,46.832,52.434000000000005,16.373200000000004,22.2108,34.8,42.29,30.0696,30.1826,64.36,57.68,51.212500000000006,60.41200000000001,18.12025,26.357400000000002,35.33322439095101,43.59570971617221,32.44975,33.7558,63.4103267143481,55.908471524301376,51.157500000000006,59.084,17.77825,25.601800000000004,34.66220665932328,43.29874910673778,32.6505,33.2844,63.92402003709294,56.375461932816485,13.118,22.508,39.08983792503311,75.24752342198393,18.642500000000002,31.222,55.1271644229796,104.82982927909407,0.18958902719455728,2.2762137256355253,2.1202414966245096,2.9436395603589838,1.209999999999999,78.0,89.33333333333333,108.5,113.0,713.5,702.8333333333334,0.7767999999999999,0.7642,0.8030000000000002,0.7732000000000001,0.792,0.769,2068.1078,2190.0768000000003,2343.4665999999997,2558.0332,2227.994,2403.729,1611.4,1676.308,1886.256,1980.433,1770.994,1852.897,20346.2,19861.2,5362.6,5340.0,1.4180000000000006,2.165999999999997,4.395800000000002,11.046599999999984,0.752,1.316,104.6,148.4,334.25,426.0,375.0,502.0,400.0,544.4,383.75,509.2,266.0,388.2,212.75,252.4,159.25,181.4,143.25,150.4,47331,61356.2,70.24000000000001,98.07000000000001,0.9786537499999999,1.5164958,3.0681999999999996,4.434239999999999,2.2480525,2.691814,2685553.4229773832,1472616.933922419,1207971.957105072,1211445.5586876113,1799739.617184747,2163371.3760582013,105.700328,226.70450960000002
BXD27,52,49.0,297,288.0,29.144,31.7375,40.076,47.302499999999995,33.66,41.205,33.138,40.4925,37.486000000000004,47.6825,39.876,47.302499999999995,13.676,21.204,34.22,44.85,25.803,25.956500000000002,64.8,54.85,39.342,49.5075,11.4768,21.72025,28.996811420384425,43.89201553106146,27.3286,27.388,69.64343767082728,55.30327618966266,30.988,36.58,4.0388,10.09125,13.365398035029106,26.68500019077015,26.072000000000003,25.5625,85.2812370602341,70.75261147340167,10.931999999999999,15.565000000000001,37.826193618582515,50.2573413885606,4.515999999999999,9.467500000000001,15.645463401704678,31.56756833296028,21.364343842158682,25.909314824418388,62.48486830084418,53.34657155404511,3.0720000000000005,83.8,90.5,107.8,108.25,718.4,706.25,0.7888,0.75275,0.851,0.76925,0.825,0.763,2121.1842,2326.19225,2610.8666000000003,2598.8225,2410.938,2489.525,1678.769,1754.365,2224.991,2003.767,2001.879,1903.777,26532.4,24296.0,5856.8,8765.0,1.9410000000000054,1.9625000000000021,6.017100000000017,10.00875000000001,1.236,0.635,122.6,175.875,381.6,387.25,503.8,490.25,512.8,553.25,473.4,586.5,317.2,489.75,195.2,379.5,145.4,236.0,131.0,197.0,54243,72093.25,79.7225,113.445,1.760703125,4.431935,3.0671675,3.6529,2.73488,3.3884875,825769.8060577074,471836.3034285536,1292057.6956033313,1275923.389521958,2133632.0724413274,1566589.2075122017,224.775806875,764.258235
BXD32,40,42.0,178,189.0,28.588,28.025000000000002,32.2,45.12,35.66199999999999,51.20666666666667,34.206,48.47,32.410000000000004,45.14333333333334,32.198,46.2375,5.45,15.729,16.58,33.99,25.47,28.81875,79.44,62.35,34.478,49.75666666666666,6.895999999999999,18.361666666666668,19.73224614254616,36.70444575935178,26.2782,29.787333333333333,76.46931770991587,60.0263738962506,33.78,48.623333333333335,6.0,17.379,17.266034665035058,35.52016623670214,26.080000000000002,29.802666666666667,77.64235690037951,61.45464377082575,3.6099999999999994,17.09,12.556635573432223,60.97024076885586,7.073999999999998,23.81,24.8765509181564,86.68547007169468,1.9847169359669465,2.2541653214204294,13.38382431132377,5.4267062530680334,1.8800000000000003,65.4,62.0,103.8,108.0,715.0,691.0,0.8093999999999999,0.7865,0.8618,0.7895000000000001,0.8398,0.788,2584.6,2187.8655,2800.0,2541.2777499999997,2790.0,2393.073,2104.0,1724.481,2542.0,2008.236,2359.0,1889.242,34094.0,23695.75,10026.0,5599.25,0.0,0.0,0.0,0.0,2.224,0.965,90.8,130.75,274.0,298.0,297.4,299.7,256.2,368.0,210.4,362.0,141.0,308.0,115.4,235.0,101.0,175.3,92.2,168.3,29934,47758.0,18.9,157.83333333333334,0.039999999999999994,1.7200000000000002,0.8379999999999999,6.436666666666667,0.804,6.286666666666666,27166666.666666668,815709.7913048429,6423133.957821458,459950.53171076387,7423728.265154054,523081.8914872331,3.8480000000000003,235.46
BXD34,53,53.0,299,299.0,26.2625,24.842000000000002,33.8575,33.446000000000005,37.9225,38.9,36.455,36.564,33.8825,36.022,33.8575,33.446000000000005,7.7,8.13,22.55,23.07,25.9,25.005199999999995,76.137,75.97,35.995,41.263999999999996,7.8702499999999995,13.7678,21.861750291770278,32.154735169575574,27.46825,26.987599999999997,76.31114314000209,66.55007225112442,35.085,37.204,6.37025,9.3282,18.120911670080012,24.416688472605234,28.397,27.542,80.97100798429702,74.66887245528896,7.5950000000000015,8.604,28.949630511675245,34.30050247979038,11.66,14.058000000000002,44.4368499728625,56.30180192592379,2.4827676111028514,9.014732033354525,19.016479368422154,30.431766979478585,1.5825000000000014,75.0,80.0,107.75,117.0,698.5,720.6,0.8372499999999999,0.7906,0.901,0.8046000000000001,0.874,0.799,2591.82675,2882.4616,3095.139,3372.5778,2884.073,3167.045,2174.269,2288.231,2790.236,2718.911,2531.927,2538.303,21598.0,19501.8,3803.75,4209.0,2.835000000000001,2.2430000000000008,8.788500000000003,11.439300000000003,1.735,1.812,100.75,103.8,388.5,338.2,376.25,373.2,350.25,338.6,325.5,335.0,277.8,534.8,179.25,167.8,150.75,139.2,130.25,119.8,43101,41517.4,39.82000000000001,42.994,0.24800000000000003,0.15520798,1.90025,1.938287,1.2603125,1.7005914,5206732.215400706,9502384.849843634,2327892.3621958983,2805527.6522296034,3228081.0015433994,2954451.0424235095,25.645500000000002,18.5376748
BXD39,44,45.0,265,256.0,28.96,28.708,41.470000000000006,45.4,45.506,48.138,43.077999999999996,47.948,41.718,44.706,41.007999999999996,45.4,15.0572,19.2134,36.74,42.3225,25.701999999999998,26.482,62.668,58.33,43.708,47.088,15.472399999999999,19.164000000000005,35.42455574460656,40.70178570361692,27.5884,27.465200000000003,63.11003408299401,58.32613092199824,43.864,46.254000000000005,15.0472,18.4908,34.28606370133392,39.98486446391861,28.1312,27.576,64.15987219758696,59.61099113210496,12.510000000000002,16.691999999999997,43.264713126802285,58.2545752882128,16.546,19.43,57.39504959960777,67.78720380805518,-0.3492886466318773,1.7537821680229115,2.771758553680935,3.487354256294741,2.960000000000002,58.0,60.4,89.4,96.4,665.0,675.0,0.7404,0.0,0.7609999999999999,0.0,0.752,0.0,2237.0374,0.0,2631.2136,0.0,2466.0,0.0,1660.0,0.0,2009.0,0.0,1863.0,0.0,17294.2,13289.6,3139.8,1987.4,1.0309999999999946,1.6120000000000005,3.1960999999999835,8.221200000000001,0.0,1.068,153.4,206.4,408.4,510.4,381.4,513.0,381.2,540.2,347.0,559.4,277.8,534.8,248.6,492.4,225.2,420.2,200.4,361.6,52077,86434.6,90.45599999999999,181.60000000000002,0.7390956,3.0302619999999996,4.384176,7.4285179999999995,2.550456,6.32325,2573102.957549201,813643.743578539,1022532.7685860271,706086.0251946927,1649187.6041615945,878676.4669731089,119.62417559999999,615.537694
